"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Link","LCSC Part Name"
"C1,C2,C12,C16","4","1uF","","","","MY_FOOTPRINTS:C_0603","kicad-embed://CC0603KRX7R7BB105.pdf","https://www.lcsc.com/product-detail/C106248.html?s_z=s_p_CC0603KRX7R7BB105&spm=wm.fly.bg.0.stp&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVfUVxRRVRZUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","C106248"
"C3,C4,C15","3","47pF","","","","MY_FOOTPRINTS:C_0603","kicad-embed://CC0603JRNPO9BN470.pdf","https://www.lcsc.com/product-detail/C105622.html?s_z=n_q_CC0603JRNPO9BN470&spm=wm.fly.bg.0.stp&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcV1RURVlcVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlFYVVBeWQkaCgg%3D","C105622"
"C5,C6","2","2.2nF","","","","MY_FOOTPRINTS:C_0603","kicad-embed://CC0603JRNPO9BN152.pdf","https://www.lcsc.com/product-detail/C107039.html?s_z=n_q_CC0603JRNPO9BN152&spm=wm.fly.bg.0.xh&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcV1VeQ1haUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4MFQUIE0wKAhAHHg1BVlZVRlJADxALGw%3D%3D","C107039"
"C7","1","1nF","","","","MY_FOOTPRINTS:C_0603","kicad-embed://CC0603JRNPO9BN102.pdf","https://www.lcsc.com/product-detail/C106246.html?s_z=n_q_CC0603JRNPO9BN102&spm=wm.fly.bg.0.xh&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcV1dfRFNcVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D","C106246"
"C8,C9","2","4.7nF","","","","MY_FOOTPRINTS:C_0603","kicad-embed://CC0603JRNPO9BN472.pdf","https://www.lcsc.com/product-detail/C576818.html?s_z=n_q_CC0603JRNPO9BN472&spm=wm.fly.bg.0.xh&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcVVNeRlhaUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlVcSQwSGg0%3D","C576818"
"C10,C13,C18","3","10uF","","","","MY_FOOTPRINTS:C_0805","kicad-embed://CC0805KKX7R7BB106.pdf","https://www.lcsc.com/product-detail/C326595.html?s_z=n_q_CC0805KKX7R7BB106&spm=wm.fly.bg.0.xh&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcVV1RR1ZbUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQlZYX1VeWQkaCgg%3D","C326595"
"C11,C14,C17","3","0.1uF","","","","MY_FOOTPRINTS:C_0603","kicad-embed://CC0603KRX7R7BB104.pdf","https://www.lcsc.com/product-detail/C108079.html?s_z=n_q_CC0603KRX7R7BB104&spm=wm.fly.bg.0.xh&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcVFVRT1VeUzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRFNYUl1TWQkaCgg%3D","C108079"
"J1","1","Conn_01x10","","","","MY_FOOTPRINTS:SJ2-3593D-SMT-TR","","",""
"J3","1","","","","","MY_FOOTPRINTS:pad-1x10","kicad-embed://CUI SJ2-3593D-SMT-TR.pdf","https://www.lcsc.com/product-detail/C4991621.html?s_z=n_q_SJ2-3593D-SMT&spm=wm.fly.bg.0.xh&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcX1RfQVdcVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D","C4991621"
"R1","1","330R","","","","MY_FOOTPRINTS:R_0603","kicad-embed://YAGEO RC0603FR-07330RL.pdf","https://www.lcsc.com/product-detail/C105881.html?s_z=n_q_RC0603FR-07330RL&spm=wm.fly.bg.0.xh&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcUFJWT1heVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","C105881"
"R2,R9,R10,R11,R15","5","0R","","","","MY_FOOTPRINTS:R_0603","kicad-embed://YAGEO RC0603JR-070RL.pdf","https://www.lcsc.com/product-detail/C95177.html?s_z=n_q_Yageo%2520RC0603JR-070RL&spm=wm.fly.bg.0.xh&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcUlVVQVRcVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRlhXSQwSGg0%3D","C95177"
"R3,R4","2","22K","","","","MY_FOOTPRINTS:R_0603","kicad-embed://TNPW060322K0BEEA.pdf","https://www.lcsc.com/product-detail/C2075372.html?s_z=n_q_TNPW060322K0BEEA&spm=wm.fly.bg.0.stp&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcVFdeT1dWXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlFWV1NfWQkaCgg%3D","C2075372"
"R5,R6,R7,R8,R14","5","1M","","","","MY_FOOTPRINTS:R0805","kicad-embed://TNPW08051M00BEEA.pdf","https://www.lcsc.com/product-detail/C844679.html?s_z=n_q_TNPW08051M00BEEA&spm=wm.fly.bg.0.xh&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcVFJQQVVYVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVFZUldRRU8GEwkK","C844679,低功耗、2通道、24位生物电位测量模拟前端"
"R12","1","100k","","","","MY_FOOTPRINTS:R_0603","kicad-embed://VISHAY TNPW0603100KBEEA.pdf","https://www.lcsc.com/product-detail/C844888.html?s_z=n_q_TNPW0603100KBEEA&spm=wm.fly.bg.0.xh&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcVF1URVBcUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slT1VaUVNfWQkaCgg%3D","C844888"
"R13","1","100K","","","","MY_FOOTPRINTS:R_0603","kicad-embed://VISHAY TNPW0603100KBEEA.pdf","https://www.lcsc.com/product-detail/C844679.html?s_z=n_q_TNPW08051M00BEEA&spm=wm.fly.bg.0.xh&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcVFJQQVVYVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVFZUldRRU8GEwkK","C844679"
"R16,R17","2","10K","","","","MY_FOOTPRINTS:R_0603","kicad-embed://RC0603FR-0710KL.pdf","https://www.lcsc.com/product-detail/C98220.html?s_z=n_q_RC0603FR-0710KL&spm=wm.fly.bg.0.xh&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcUFdXR1BZUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlFYVVBQWQkaCgg%3D","C98220"
"U1","1","","","","","MY_FOOTPRINTS:SOT_RG1_DIO-L","kicad-embed://AP2112K-3.3TRG1.pdf","https://www.lcsc.com/product-detail/C51118.html?s_z=s_p_AP2112K-3.3TRG1&spm=wm.fly.bg.0.xh&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcUlBTR1JXVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","C51118"
"U2","1","","","","","MY_FOOTPRINTS:TI ADS1292RIPBSR","kicad-embed://TI ADS1292RIPBSR.pdf","https://www.lcsc.com/product-detail/C528635.html?s_z=n_q_ADS1292RIPBSR&spm=wm.fly.bg.0.xh&lcsc_vid=T1ENXlZURVFeVVECQAJaBVcAFVAMVFRUFgJYUgJQTlIxVlNeRlVcUV1UT1VZUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","C528635"
